week_cd,std_year,week_num,week_start,week_end
1,2021,46,2021-11-21,2021-11-27
2,2021,47,2021-11-28,2021-12-04
3,2021,48,2021-12-05,2021-12-11
4,2021,49,2021-12-12,2021-12-18
5,2021,50,2021-12-19,2021-12-25
6,2021,51,2021-12-26,2022-01-01
7,2022,52,2022-01-02,2022-01-08
8,2022,1,2022-01-09,2022-01-15
9,2022,2,2022-01-16,2022-01-22
10,2022,3,2022-01-23,2022-01-29
11,2022,4,2022-01-30,2022-02-05
12,2022,5,2022-02-06,2022-02-12
13,2022,6,2022-02-13,2022-02-19
14,2022,7,2022-02-20,2022-02-26
15,2022,8,2022-02-27,2022-03-05
16,2022,9,2022-03-06,2022-03-12
17,2022,10,2022-03-13,2022-03-19
18,2022,11,2022-03-20,2022-03-26
19,2022,12,2022-03-27,2022-04-02
20,2022,13,2022-04-03,2022-04-09
21,2022,14,2022-04-10,2022-04-16
22,2022,15,2022-04-17,2022-04-23
23,2022,16,2022-04-24,2022-04-30
24,2022,17,2022-05-01,2022-05-07
25,2022,18,2022-05-08,2022-05-14
26,2022,19,2022-05-15,2022-05-21
27,2022,20,2022-05-22,2022-05-28
28,2022,21,2022-05-29,2022-06-04
29,2022,22,2022-06-05,2022-06-11
30,2022,23,2022-06-12,2022-06-18
31,2022,24,2022-06-19,2022-06-25
32,2022,25,2022-06-26,2022-07-02
33,2022,26,2022-07-03,2022-07-09
34,2022,27,2022-07-10,2022-07-16
35,2022,28,2022-07-17,2022-07-23
36,2022,29,2022-07-24,2022-07-30
37,2022,30,2022-07-31,2022-08-06
38,2022,31,2022-08-07,2022-08-13
39,2022,32,2022-08-14,2022-08-20
40,2022,33,2022-08-21,2022-08-27
41,2022,34,2022-08-28,2022-09-03
42,2022,35,2022-09-04,2022-09-10
43,2022,36,2022-09-11,2022-09-17
44,2022,37,2022-09-18,2022-09-24
45,2022,38,2022-09-25,2022-10-01
46,2022,39,2022-10-02,2022-10-08
47,2022,40,2022-10-09,2022-10-15
48,2022,41,2022-10-16,2022-10-22
49,2022,42,2022-10-23,2022-10-29
50,2022,43,2022-10-30,2022-11-05
51,2022,44,2022-11-06,2022-11-12
52,2022,45,2022-11-13,2022-11-19
53,2022,46,2022-11-20,2022-11-26
54,2022,47,2022-11-27,2022-12-03
55,2022,48,2022-12-04,2022-12-10
56,2022,49,2022-12-11,2022-12-17
57,2022,50,2022-12-18,2022-12-24
58,2022,51,2022-12-25,2022-12-31
59,2023,52,2023-01-01,2023-01-07
60,2023,1,2023-01-08,2023-01-14
61,2023,2,2023-01-15,2023-01-21
62,2023,3,2023-01-22,2023-01-28
63,2023,4,2023-01-29,2023-02-04
64,2023,5,2023-02-05,2023-02-11
65,2023,6,2023-02-12,2023-02-18
66,2023,7,2023-02-19,2023-02-25
67,2023,8,2023-02-26,2023-03-04
68,2023,9,2023-03-05,2023-03-11
69,2023,10,2023-03-12,2023-03-18
70,2023,11,2023-03-19,2023-03-25
71,2023,12,2023-03-26,2023-04-01
72,2023,13,2023-04-02,2023-04-08
73,2023,14,2023-04-09,2023-04-15
74,2023,15,2023-04-16,2023-04-22
75,2023,16,2023-04-23,2023-04-29
76,2023,17,2023-04-30,2023-05-06
77,2023,18,2023-05-07,2023-05-13
78,2023,19,2023-05-14,2023-05-20
79,2023,20,2023-05-21,2023-05-27
80,2023,21,2023-05-28,2023-06-03
81,2023,22,2023-06-04,2023-06-10
82,2023,23,2023-06-11,2023-06-17
83,2023,24,2023-06-18,2023-06-24
84,2023,25,2023-06-25,2023-07-01
85,2023,26,2023-07-02,2023-07-08
86,2023,27,2023-07-09,2023-07-15
87,2023,28,2023-07-16,2023-07-22
88,2023,29,2023-07-23,2023-07-29
89,2023,30,2023-07-30,2023-08-05
90,2023,31,2023-08-06,2023-08-12
91,2023,32,2023-08-13,2023-08-19
92,2023,33,2023-08-20,2023-08-26
93,2023,34,2023-08-27,2023-09-02
94,2023,35,2023-09-03,2023-09-09
95,2023,36,2023-09-10,2023-09-16
96,2023,37,2023-09-17,2023-09-23
97,2023,38,2023-09-24,2023-09-30
98,2023,39,2023-10-01,2023-10-07
99,2023,40,2023-10-08,2023-10-14
