쿠폰번호,활성화일자,쿠폰종료일,auth_id
Hyu9C9,2023-10-05,2023-12-17,SOzEDH1CRMeXS8hwpJ3IkQ
p2MQDB,2023-10-03,2023-12-17,gimPmsnaQfi8Vx_L3oFMZQ
bpFpHA,2023-09-24,2023-12-17,djaAx8sEQReRzImtd2sA3w
w6hxzr,2023-09-23,2023-12-17,JHRdQdJWQrmH65m7odosVw
MgKAfL,2023-09-23,2023-12-17,mRY84FM1R7WFu8jDymW3eA
kKEdqT,2023-09-22,2023-12-17,ONG8kdYrQGqUP17PgZZFmA
DRmpJn,2023-09-20,2023-12-17,dvFjgBzQSu2S8De95BYqmg
2DiNh6,2023-09-20,2023-12-17,X89zKFz4QC-M5jwo1iLI4g
MFKDY6,2023-09-19,2023-12-17,3tv6xAvjSiOBvn6Pi8LkGw
ntGdZF,2023-09-19,2023-12-17,SS_M7DvJTvKxIcNAt6rB5Q
ZhzTwf,2023-09-19,2023-12-17,UXtdCOPLTDaONmM-mk4e1A
hVtg4T,2023-09-19,2023-12-17,VrVBdpn5QWOhPYOMZYjqBQ
9j4c4X,2023-09-18,2023-12-17,Wma7L57WQgGc-9ivrhoG4A
SACZBY,2023-09-18,2023-12-17,0mlBoXZHSLmWELx913rR9g
6QeX6K,2023-09-18,2023-12-17,ECvuummcQA-4GskntiAHtQ
UTNSZc,2023-09-18,2023-12-17,nPKbqr0XR0Kn8Jz8nj35Kw
XBdweP,2023-09-18,2023-12-17,W1_cjyfLSEqpecix7LdImQ
