0,1,2,3,4,5,6
null,null,null,null,null,null,null
UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController
UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController,UIViewController
Splash,Splash,Splash,Splash,Splash,Splash,null
OnboardingFirst,HomeTab,HomeTab,HomeTab,.,HomeTab,.
OnboardingLanguageSetting,RCTModalHostViewController,PathTab,ReviewTab,.,RCTModalHostViewController,.
OnboardingKoreanOptions,UIViewController,PathTabPlayer,MyTab,.,UIViewController,.
HomeTab,PathTab,PathTab,StreakResult,.,MyTab,.
MyTab,PathTabPlayer,StreakResult,Player,.,RCTModalHostViewController,.
ReviewTab,PathTab,PathTab,StreakResult,.,UIViewController,.
PlusOnlyTab,PathTabPlayer,PathTabPlayer,MyTab,.,RCTModalHostViewController,.
PathTab,PathTab,PathTab,ReviewTab,.,UIViewController,.
HomeTab,RCTModalHostViewController,CollectionQuiz,HomeTab,.,MyTabSetting,.
MyTab,UIViewController,PathTab,.,.,MyAccountChange,.
RCTModalHostViewController,CollectionQuiz,CollectionQuiz,.,.,MyTabSetting,.
UIViewController,PathTab,PathTab,.,.,RCTModalHostViewController,.
RCTModalHostViewController,RCTModalHostViewController,CollectionQuiz,.,.,UIViewController,.
UIViewController,UIViewController,PathTab,.,.,QBImagePickerController,.
MyTabSetting,SnackPlayer,StreakResult,.,.,QBAlbumsViewController,.
MyNameChange,PathTab,StreakSetting,.,.,QBAssetsViewController,.
MyTabSetting,CollectionQuiz,StreakResult,.,.,TOCropViewController,.
MyAccountChange,PathTab,PathTab,.,.,UIViewController,.
Splash,RCTModalHostViewController,SnackPlayer,.,.,MyTab,.
HomeTab,UIViewController,PathTab,.,.,ReviewTab,.
MyTab,MyTab,CollectionQuiz,.,.,RCTModalHostViewController,.
PathTab,RCTModalHostViewController,PathTab,.,.,UIViewController,.
SnackPlayer,UIViewController,PathTabPlayer,.,.,HomeTab,.
PathTab,BadgeList,PathTab,.,.,PlusOnlyTab,.
RCTModalHostViewController,MyTab,PathTabPlayer,.,.,PathTab,.
UIViewController,HomeTab,PathTab,.,.,SnackPlayer,.
StreakResult,.,CollectionQuiz,.,.,.,.
PathTab,.,PathTab,.,.,.,.
CollectionQuiz,.,CollectionQuiz,.,.,.,.
PathTab,.,PathTab,.,.,.,.
.,.,MyTab,.,.,.,.
.,.,RCTModalHostViewController,.,.,.,.
.,.,UIViewController,.,.,.,.
.,.,MyTabSetting,.,.,.,.
